station,id_station,city
ABDELMOUMEN,114237,Casablanca
AIN MAAZI,201586,Casablanca
AIN SEBAA,200521,Casablanca
AL AMAL,100742,Casablanca
AL MADINA,100741,Casablanca
AL MASSIRA,100730,Casablanca
ALMA,100729,Casablanca
ATTACHAROUK,164915,Casablanca
CITEE DJEMAA,100746,Casablanca
DAR CHEMS,100820,Casablanca
EL FARAH,100816,Casablanca
EL GHOUROUB,173649,Casablanca
ETTAJ,110561,Casablanca
GHANDI,166545,Casablanca
LES IRIS,511749,Casablanca
LIBERTE,100817,Casablanca
LISSASFA,500016,Casablanca
M'DAKRA,100735,Casablanca
MAMOUNIA,100808,Casablanca
MOULAY DRISS,509073,Casablanca
MOUSTAKBAL,100781,Casablanca
MY DRISS,503073,Casablanca
NASSIM,191100,Casablanca
OULED ZIANE,100778,Casablanca
OUM ERRABII,100813,Casablanca
PALMIERS,144413,Casablanca
RACINE,184547,Casablanca
RELAIS AL BAIDA,108645,Casablanca
RIVIERA,181400,Casablanca
ROCHES NOIRES,153160,Casablanca
ROUTE DE RABAT,509207,Casablanca
ROUTE DU SUD,509273,Casablanca
SIDI MAAROUF,100812,Casablanca
VELODROME,100770,Casablanca
VILLE NOUVELLE,515214,Casablanca
ZENATA,100773,Casablanca
ZI AIN SEBAA,188716,Casablanca
AGDAL,101506,Rabat
MARHABA,102999,Rabat
NEJMA,188166,Rabat
RELAIS BOUREGREG,501063,Rabat
ROUTES DES ZAERS,101487,Rabat
TAMESNA,167766,Rabat
YAACOUB EL MANSOUR,101496,Rabat
